manufacturer,mini_itx,micro_atx,atx,extended_atx,steel,plastic,aluminum,Color:,description,with_power_supply,psu_mount_location,psu_wattage,filter,expansion_slots,weight,side_panel_window,,front_ports,Model #:,internal_3_5_drive_bays,external_5_25_drive_bay,external_3_5_drive_bay,"Internal 2.5"" Drive Bays:",power_supply_mount_location,Removable Filter:,Type,Dimensions (H x W x D):,200mm Fans,140mm Fans,120mm Fans,90mm Fans:,80mm Fans:,40mm Fans,Radiator Support
Lian-Li,1,,,,,,1,,Lian Li DK-02 Black Aluminum Computer Desk (Computer Case with Legs),,,,,,,,,(System1)USB3.0 x 4 HD Audio (System2)USB3.0 x 4 HD Audio,DK-02X,"3.5"" drive bay (System1)3.5""/2.5"" HDD x8 (System2)3.5""/2.5"" HDD x9","5.25"" drive bay (External) Slim ODD x1 or 2.5"" HDD x1",,,,,,,,,,,,,
Thermaltake,,,1,,,,,,"Thermaltake Versa H22 Mid-Tower Case CA-1B3-00M1NN-00 SPCC ATX 7 x Expansion Slots 3 x 5.25"" External Drive Bays",Standard PS2 PSU (optional),,,,,,,,USB 3.0 x 1USB 2.0 x 1 HD Audio x 1,CA-1B3-00M1NN-00,,,,,,,,,,,Front (intake) :(optional) 120 x 120 x 25 mm x 2 Rear (exhaust) : 120 x 120 x 25 mm Turbo fan (1000rpm 16dBA),,,,
Thermaltake,,,1,,,,,,"Thermaltake Versa H22 Mid-Tower Case w/ Window CA-1B3-00M1WN-00 SPCC ATX 7 x Expansion Slots 3 x 5.25"" External Drive Bays",Standard PS2 PSU (optional),,,,,,,,USB 3.0 x 1USB 2.0 x 1 HD Audio x 1,CA-1B3-00M1WN-00,,,,,,,,,,,Front (intake) :(optional) 120 x 120 x 25 mm x 2 Rear (exhaust) : 120 x 120 x 25 mm Turbo fan (1000rpm 16dBA),,,,
Thermaltake,,,1,,,,,,Thermaltake Versa H21/Black/Win/SECC Black SPCC ATX Mid Tower Computer Case (CA-1B2-00M1WN-00),Standard PS2 PSU (optional),,,,,,,,USB 3.0 x 1USB 2.0 x 1 HD Audio x 1,CA-1B2-00M1WN-00,,,,,,,,,,,Front (intake) :(optional) 120 x 120 x 25 mm x 2 Rear (exhaust) : 120 x 120 x 25 mm Turbo fan (1000rpm 16dBA),,,,
Thermaltake,,,1,,,,,,Thermaltake CA-1B2-00M1NN-00 Black SPCC ATX Mid Tower Computer Case,Standard PS2 PSU (optional),,,,,,,,USB 3.0 x 1USB 2.0 x 1 HD Audio x 1,CA-1B2-00M1NN-00,,,,,,,,,,,Front (intake) :(optional) 120 x 120 x 25 mm x 2 Rear (exhaust) : 120 x 120 x 25 mm Turbo fan (1000rpm 16dBA),,,,
Thermaltake,,,1,,,,,,Thermaltake Urban R31 - Window Black SECC ATX Mid Tower Computer Case (CA-1A7-00M1WN-00),Standard PS2 PSU (optional),,,,,,,,USB 3.0 x 2 HD Audio x 1,CA-1A7-00M1WN-00,,,,,,,,,,,Front (intake) : 120 x 120 x 25 mm Turbo fan (1000rpm16dBA) 120 x 120 x 25 mm (optional) Rear (exhaust) : 120 x 120 x 25 mm Turbo fan (1000rpm 16dBA) Top (exhaust) :(optional) 120 x 120 x 25 mm x 2 or 140 x 140 x 25 mm x 2 Bottom (intake) : (optional) 120 x 120 x 25 mm,,,,
Thermaltake,,,1,,,,,,Thermaltake Chaser Series A41 VP200A6W2N White SECC ATX Mid Tower Case,,Bottom,,,,,,,USB 3.0 x 2 HD Audio x 1,VP200A6W2N,,,,,,,,,,,Front (intake) : 120 x 120 x 25 mm Blue LED fan x 1 (1000rpm 16dBA) Rear (exhaust) : 120 x 120 x 25 mm Turbo fan (1000rpm16dBA),,,,
Thermaltake,1,1,,,,,,,Thermaltake Urban S1 Black SECC MicroATX Mini Tower Computer Case (CA-1A8-00M1NN-00),Standard PS2 PSU (optional),,,,,,,,USB 3.0 x 2 HD Audio x 1,CA-1A8-00M1NN-00,,,,,,,,,,,Front (intake) :(optional) 120 x 120 x 25 mm fan,,,,
Ark Technology Inc.,,,1,,,,,Black,Ark PA06 ATX Mid Tower Computer Case w/ 500W PS2 PSU Side Window and 80mm Fan.,,,,,,,Yes,,,8086125758,,,,,,,,420x183x410(mm),,,,,,,
Ark Technology Inc.,,,1,,,,,Black,Ark PA06 ATX Mid Tower Computer Case w/ 500W PS2 PSU Side Window and 80mm Fan.,,,,,,,Yes,,,9SIC4C2HM054,,,,,,,,420x183x410(mm),,,,,,,
