Brand,Chipset Manufacturer:,Model,VRAM,Description,Boost Clock,Cuda Cores,Shader Clock,Effective Memory Clock,Stream Processors,Direct X,HDMI,Model Number,D-Sub,Display Port,OpenGl,Dvi:,PixelPipelines,Slot Width,Max Resolution:,Cooler,Low Profile,release_date,code_name,manufacturer_tech,bus_interface,vram,core_frequency,vram_frequency,shader_frequency,core_config,purpose,open_gl,thermal_design_power,m_operations_s,g_pixels_s,m_texals_s,m_vertices_,v_ram_bandwidth,v_ram_bus_type,v_ram_bus_width,directx,
Diamond Multimedia,AMD, Radeon R9 290,4096,DIAMOND R9290D54GV2 Radeon R9 290 4GB 512-Bit GDDR5 PCI Express 3.0 x16 CrossFireX Support Video Card,,,,5000MHz,,DirectX 11.2,,R9290D54GV2,,,,,,,,,,5-Nov-13,Hawaii PRO,28,PCIe 3.0 _16,4096,947,5000,,2560:160:64,desktop,,275,,2_ 65.152,,,2_ 320,GDDR5,512,,
XFX,AMD, Radeon R9 290,4096,XFX Double Dissipation R9-290A-EDFD Radeon R9 290 4GB 512-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support Video Card,,,,1250MHz x 4 (5.0 Gbps),2560 Stream Processors,,,R9-290A-EDFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapphire Tech,AMD, Radeon R9 290,4096,SAPPHIRE  100362-3L  Radeon R9 290  4GB  512-Bit  GDDR5  PCI Express 3.0  CrossFireX Support Tri-X OC Version (UEFI) Video Card,,,,5000MHz,2560 Stream Processors,,,100362-3L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI,AMD, Radeon R9 290,4096,MSI Radeon R9 290 GAMING 4GB 512-bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support Video Card,,,,5200MHz,2560 Stream Processors,,,R9 290 GAMING 4G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIGABYTE,AMD, Radeon R9 290,4096,GIGABYTE GV-R929OC-4GD Radeon R9 290 4GB 512-Bit GDDR5 PCI Express 3.0 HDCP Ready Video Card,,,,6.4GHz,2560 Stream Processors,,,GV-R929OC-4GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PowerColor,AMD, Radeon R9 290,4096,New PowerColor Video Card PCS+ AMD Radeon R9 290 4 GB GDDR5 OC 2DVI/HDMI/DisplayPort PCI-Express 4GB(SaveMart),,,,1375MHz (5.5Gbps),2560 Stream Processors,,,JDOZ2H01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PowerColor,AMD, Radeon R9 290,4096,PowerColor  TurboDuo  AXR9 290 4GBD5-TDHEV2/OC  Radeon R9 290  4GB  512-Bit  GDDR5  PCI Express 3.0  CrossFireX Support ATX  OC Video Card,,,,1066MHz,2560 Stream Processors,,,AXR9 290 4GBD5-TDHEV2/OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PowerColor,AMD, Radeon R9 290,4096,PowerColor PCS+ AXR9 290 4GBD5-PPDHE Radeon R9 290 4GB 512-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support Video Card,,,,5500MHz,2560 Stream Processors,,,AXR9 290 4GBD5-PPDHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XFX,AMD, Radeon R9 290,4096,XFX Black Edition Double Dissipation R9-290A-EDBD Radeon R9 290 4GB 512-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready CrossFireX Support Video Card,,,,1350MHz (5.4Gbps),2560 Stream Processors,,,R9-290A-EDBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PowerColor,AMD, Radeon R9 290,4096,Open Box: PowerColor PCS+ AXR9 290 4GBD5-PPDHE Radeon R9 290 4GB 512-Bit GDDR5 PCI Express 3.0 HDCP Ready CrossFireX Support Video Card,,,,1350MHz (5.4Gbps),2560 Stream Processors,,,AXR9 290 4GBD5-PPDHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
