Manufactuer,Discription,Capacaty,RPM,Interface,Cache,Class
Western Digital,"Western Digital Blue WD10EZEX 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital Blue WD10EZEX 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",1024,7200,SATA 6.0Gb/s,64,Blue
Seagate,"Seagate Barracuda ST1000DM003 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Seagate Barracuda ST1000DM003 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",1024,7200,SATA 6.0Gb/s,64,Barracuda
Western Digital,"Western Digital Red NAS Hard Drive WD30EFRX 3TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" NAS Hard Drive Western Digital Red NAS Hard Drive WD30EFRX 3TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" NAS Hard Drive",3000,IntelliPower,SATA 6.0Gb/s,64,Red
Western Digital,"WD BLACK SERIES WD1003FZEX 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive WD BLACK SERIES WD1003FZEX 1TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",1024,7200,SATA 6.0Gb/s,64,Black
HGST,"HGST Deskstar NAS H3IKNAS40003272SN (0S03664) 4TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" High-Performance Hard Drive for Desktop NAS Systems Bare Drive HGST Deskstar NAS H3IKNAS40003272SN (0S03664) 4TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" High-Performance Hard Drive for Desktop NAS Systems Bare Drive",4000,7200,SATA 6.0Gb/s,64,
Western Digital,"Western Digital WD Green WD20EZRX 2TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital WD Green WD20EZRX 2TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",2048,IntelliPower,SATA 6.0Gb/s,64,Green
Western Digital,"WD BLACK SERIES WD2003FZEX 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive WD BLACK SERIES WD2003FZEX 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",2048,7200,SATA 6.0Gb/s,64,Black
Seagate,"Seagate Barracuda ST2000DM001 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Seagate Barracuda ST2000DM001 2TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",2048,7200,SATA 6.0Gb/s,64,Barracuda
Seagate,"Seagate Barracuda 7200.14 ST3000DM001 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Seagate Barracuda 7200.14 ST3000DM001 3TB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",3000,7200,SATA 6.0Gb/s,64,Barracuda
Western Digital,"Western Digital Blue WD5000AAKX 500GB 7200 RPM 16MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital Blue WD5000AAKX 500GB 7200 RPM 16MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",500,7200,SATA 6.0Gb/s,16,Blue
Seagate,"Seagate Desktop HDD.15 ST4000DM000 4TB 5900 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Seagate Desktop HDD.15 ST4000DM000 4TB 5900 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",4000,5900,SATA 6.0Gb/s,64,ST
Western Digital,"WD Green WD40EZRX 4TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive - Bulk Bare Drive WD Green WD40EZRX 4TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive - Bulk Bare Drive",4000,IntelliPower,SATA 6.0Gb/s,64,Green
Seagate,"Seagate Barracuda ST500DM002 500GB 7200 RPM 16MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Seagate Barracuda ST500DM002 500GB 7200 RPM 16MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",500,7200,SATA 6.0Gb/s,16,Barracuda
Western Digital,"Western Digital Black WD5003AZEX 500GB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive Western Digital Black WD5003AZEX 500GB 7200 RPM 64MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",500,7200,SATA 6.0Gb/s,64,Black
Toshiba,"TOSHIBA DT01ACA300 3TB 64MB Cache SATA 3 (6.0 Gb/S) 3.5"" Internal Hard Drive Bare Drive TOSHIBA DT01ACA300 3TB 64MB Cache SATA 3 (6.0 Gb/S) 3.5"" Internal Hard Drive Bare Drive",3000,,SATA 6.0Gb/s,64,
