"id","manufacturer","name","core_name","core_count","manufacturer_tech","frequency","thermal_design_power","release_date","release_price","sSpec","voltage","created_at","updated_at","vram_bit_width","i_gpu","part_number","socket"
1,"Intel","Core i7-920","Bloomfield",4,45,2.67,130,"2008-11-01",284,,,"2015-03-09 23:57:22.870367","2015-03-09 23:57:22.870392",,,"BX80601920","1366"
2,"Intel","Core i5-4460","Haswell",4,22,3.2,84,"2014-05-01",182,,,"2015-03-09 23:57:22.870539","2015-03-09 23:57:22.870547",,"HD Graphics 4600","CM8064601560722","1150"
3,"Intel","Core i7-860S","Lynnfield",4,45,2.53,82,"2010-01-01",337,,,"2015-03-09 23:57:22.870611","2015-03-09 23:57:22.870616",,,"BV80605003210AD","1156"
4,"Intel","Core i3-530","Clarkdale",2,32,2.93,73,"2010-01-01",133,,,"2015-03-09 23:57:22.870672","2015-03-09 23:57:22.870676",,,"CM80616003180AG","1156"
5,"Intel","Core i3-540","Clarkdale",2,32,3.07,73,"2010-01-01",133,,,"2015-03-09 23:57:22.87075","2015-03-09 23:57:22.870755",,,"CM80616003060AE","1156"
6,"Intel","Core i7-2600","Sandy Bridge",4,32,3.4,95,"2001-11-01",294,,,"2015-03-09 23:57:22.870799","2015-03-09 23:57:22.870803",,"HD Graphics 2000","CM8062300834302","1155"
7,"Intel","Core i7-2600K","Sandy Bridge",4,32,3.4,95,"2001-11-01",317,,,"2015-03-09 23:57:22.87086","2015-03-09 23:57:22.870865",,"HD Graphics 3000","CM8062300833908","1155"
8,"Intel","Core i7-2600S","Sandy Bridge",4,32,2.8,65,"2001-11-01",306,,,"2015-03-09 23:57:22.870924","2015-03-09 23:57:22.870928",,"HD Graphics 2000","CM8062300835604","1155"
9,"Intel","Core i5-2300","Sandy Bridge",4,32,2.8,95,"2001-11-01",177,,,"2015-03-09 23:57:22.870989","2015-03-09 23:57:22.870993",,"HD Graphics 2000","CM8062301061502","1155"
10,"Intel","Core i5-2400","Sandy Bridge",4,32,3.1,95,"2001-11-01",184,,,"2015-03-09 23:57:22.871038","2015-03-09 23:57:22.871042",,"HD Graphics 2000","CM8062300834106","1155"
11,"Intel","Core i5-2500","Sandy Bridge",4,32,3.3,95,"2001-11-01",205,,,"2015-03-09 23:57:22.871108","2015-03-09 23:57:22.871112",,"HD Graphics 2000","CM8062300834203","1155"
12,"Intel","Core i5-2500K","Sandy Bridge",4,32,3.3,95,"2001-11-01",216,,,"2015-03-09 23:57:22.871156","2015-03-09 23:57:22.87116",,"HD Graphics 3000","CM8062300833803","1155"
13,"Intel","Core i5-2400S","Sandy Bridge",4,32,2.5,65,"2001-11-01",195,,,"2015-03-09 23:57:22.871227","2015-03-09 23:57:22.871231",,"HD Graphics 2000","CM8062300835404","1155"
14,"Intel","Core i5-2500S","Sandy Bridge",4,32,2.7,65,"2001-11-01",216,,,"2015-03-09 23:57:22.871275","2015-03-09 23:57:22.871278",,"HD Graphics 2000","CM8062300835501","1155"
15,"Intel","Core i5-2500T","Sandy Bridge",4,32,2.3,45,"2001-11-01",216,,,"2015-03-09 23:57:22.87135","2015-03-09 23:57:22.871354",,"HD Graphics 2000","CM8062301001910","1155"
16,"Intel","Core i5-2380P","Sandy Bridge",4,32,3.1,95,"2012-01-01",177,,,"2015-03-09 23:57:22.871398","2015-03-09 23:57:22.871401",,"N/A","CM8062301157400","1155"
17,"Intel","Core i5-2450P","Sandy Bridge",4,32,3.2,95,"2012-01-01",195,,,"2015-03-09 23:57:22.871445","2015-03-09 23:57:22.871449",,"N/A","CM8062301157300","1155"
18,"Intel","Core i5-2550K","Sandy Bridge",4,32,3.4,95,"2012-01-01",225,,,"2015-03-09 23:57:22.871516","2015-03-09 23:57:22.87152",,"N/A","CM8062301213000","1155"
19,"Intel","Core i3-3210","Ivy Bridge ",2,22,3.2,55,"2013-01-01",117,,,"2015-03-09 23:57:22.871564","2015-03-09 23:57:22.871568",,"HD Graphics 2500","CM8063701392300","1155"
20,"Intel","Core i7-2700K","Sandy Bridge",4,32,3.5,95,"2010-01-01",332,,,"2015-03-09 23:57:22.871695","2015-03-09 23:57:22.871703",,"HD Graphics 3000","CM8062301124100","1155"
