manufacturer,description,wattag,Class,modular,plus_80,rail_12v,pcie_6+2_pin,pcie_6_pin,pcie_8_pin,main_connector,fans_120mm,fans_135mm,fans_80mm,fans_140mm,featurelist_contents
Antec,Antec HCP Platinum HCP-1000 1000W ATX12V V2.32 / EPS12V V2.92 SLI Ready CrossFire Ready 80 PLUS PLATINUM Certified Full Modular Active PFC Power Supply - Intel Haswell Fully Compatible,1000,,Full Modular,,4,6,,,24,,,,,Fans: 1 x 135mm DBB Silence; Main Connector: 24Pin; +12V Rails: 4; PCI-Express Connector: 6 x 6+2-Pin; Model #: HCP-1000 Platinum; Item #: N82E16817371060; Return Policy: View Return Policy
Antec,Antec EDGE 550 550W ATX12V / EPS12V 80 PLUS GOLD Certified Full Modular Power Supply,550,EDGE,Full Modular,,2,2,,,20+4,,,,,Fans: 135 mm LED FDB Silence; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 2 x 6+2-Pin; Model #: EDGE 550; Item #: N82E16817371077; Return Policy: View Return Policy
Antec,Antec EDGE 750 750W ATX12V / EPS12V 80 PLUS GOLD Certified Full Modular Power Supply,750,EDGE,Full Modular,,2,6,,,20+4,,,,,Fans: 135 mm LED FDB Silence; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 6 x 6+2-Pin; Model #: EDGE 750; Item #: N82E16817371079; Return Policy: View Return Policy
Antec,Antec TruePower Classic series TP-750C 750W ATX12V / EPS12V SLI CrossFire Certified 80 PLUS GOLD Certified Power Supply,750,TruePower,,,2,6,,,20+4,1,,,,Fans: 120mm Fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 6 x 6+2-Pin; Model #: TP-750C; Item #: N82E16817371073; Return Policy: View Return Policy
Antec,Antec TruePower Classic series TP-550C 550W 80 PLUS GOLD Certified Power Supply,550,TruePower,,,,,,,,,,,,"Efficiency: Up to 92%; Approvals: UL cUL FCC TUV CE CB CCC C-Tick BSMI Gost-R SABS; Dimensions: 3.4""(H) x 5.9""(W) x 5.5""(D); Weight: 4.6 lbs.; Model #: TP-550C; Item #: N82E16817371071; Return Policy: Standard Return Policy"
Antec,Antec Basiq BP430 430W Continuous Power ATX12V Version 2.2 80 PLUS Certified Active PFC Power Supply - Intel Haswell Fully Compatible,430,,,,2,,1,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 1 x 6-Pin; Model #: BP430; Item #: N82E16817371023; Return Policy: Standard Return Policy
Antec,Antec BP550 Plus 550W Continuous Power ATX12V V2.2 80 PLUS Certified Modular Active PFC Power Supply - Intel Haswell Fully Compatible,550,,Modular,,3,1,1,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: 3; PCI-Express Connector: 1 x 6-Pin 1 x 6+2-Pin; Model #: BP550 Plus; Item #: N82E16817371016; Return Policy: Standard Return Policy
Antec,Antec EarthWatts Green EA-380D Green 380W Continuous power ATX12V v2.3 / EPS12V 80 PLUS BRONZE Certified Active PFC Power Supply - Intel Haswell Fully Compatible,380,EarthWatts,,,2,,1,,20+4,,,1,,Fans: 80mm low noise cooling fan; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 1 x 6-Pin; Model #: EA-380D Green; Item #: N82E16817371033; Return Policy: View Return Policy
Antec,Antec HCG M Series HCG-520M 520W ATX12V / EPS12V SLI Ready CrossFire Ready 80 PLUS BRONZE Certified Modular Active PFC Power Supply - Intel Haswell Fully Compatible,520,HCG ,Modular,,1,2,,,20+4,,,,,Fans: 1; Main Connector: 20+4Pin; +12V Rails: Single; PCI-Express Connector: 2 x 6+2-Pin; Model #: HCG-520M; Item #: N82E16817371058; Return Policy: Standard Return Policy
Antec,Antec HCG M HCG-750M 750W ATX12V SLI Ready CrossFire Certified 80 PLUS BRONZE Certified Modular Active PFC Power Supply,750,HCG ,Modular,,2,4,,,20+4,,,,,Fans: 135 mm LED DBB Silence - Whisper-quiet high-quality LED double ball bearing fan with long lifetime; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 4 x 6+2-Pin; Model #: HCG-750M; Item #: N82E16817371066; Return Policy: View Return Policy
Antec,Antec HCG M HCG-850M 850W ATX12V SLI Ready CrossFire Certified 80 PLUS BRONZE Certified Modular Active PFC Power Supply,850,HCG ,Modular,,2,4,,,20+4,,,,,Fans: 135 mm LED DBB Silence - Whisper-quiet high-quality LED double ball bearing fan with long lifetime; Main Connector: 20+4Pin; +12V Rails: 2; PCI-Express Connector: 4 x 6+2-Pin; Model #: HCG-850M; Item #: N82E16817371067; Return Policy: Standard Return Policy
