itembrand_image/_alt,wrapper_link/_text,itemdescription_description,itemfeatures_value_1,itemfeatures_value_1_numbers,Cas Latency:,Voltage:,Muli-Channel,Timing:,Model #:,Buffered,ECC,Headspreader,color
G.SKILL,G.SKILL Ares Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C11D-8GAB G.SKILL Ares Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C11D-8GAB,G.SKILL Ares Series 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 2400 (PC3 19200) Desktop Memory Model F3-2400C11D-8GAB,DDR3 2400 (PC3 19200),2400; 19200,11,1.65V,Dual Channel Kit,11-13-13-31,F3-2400C11D-8GAB,,,,
Corsair,CORSAIR Dominator Platinum 16GB (4 x 4GB) DDR4 3200 (PC4-25600) Memory KitModel CMD16GX4M4B3200C15 CORSAIR Dominator Platinum 16GB (4 x 4GB) DDR4 3200 (PC4-25600) Memory KitModel CMD16GX4M4B3200C15,CORSAIR Dominator Platinum 16GB (4 x 4GB) DDR4 3200 (PC4-25600) Memory KitModel CMD16GX4M4B3200C15,DDR4 3200 (PC4-25600),3200; 25600,15,1.35V,Quad Channel Kit,15-17-17-35,CMD16GX4M4B3200C15,,,,
G.SKILL,G.SKILL Ripjaws 4 series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model F4-2133C15Q-32GRR G.SKILL Ripjaws 4 series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model F4-2133C15Q-32GRR,G.SKILL Ripjaws 4 series 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 2133 (PC4-17000) Desktop Memory Model F4-2133C15Q-32GRR,DDR4 2133 (PC4-17000),2133; 17000,15,1.2V,Quad Channel Kit,15-15-15-35,F4-2133C15Q-32GRR,,,,
Corsair,CORSAIR 4GB (2 x 2GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model VS4GBKIT800D2 G CORSAIR 4GB (2 x 2GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model VS4GBKIT800D2 G,CORSAIR 4GB (2 x 2GB) 240-Pin DDR2 SDRAM DDR2 800 (PC2 6400) Desktop Memory Model VS4GBKIT800D2 G,DDR2 800 (PC2 6400),800; 6400,5,1.8V,Dual Channel Kit,5-5-5-18,VS4GBKIT800D2 G,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 993988F Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 993988F,Mushkin Enhanced Blackline 16GB (4 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 993988F,DDR3 1600 (PC3 12800),1600; 12800,9,1.35V,Quad Channel Kit,9-9-9-24,993988F,,,,
G.SKILL,G.SKILL ECO Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-12800CL9D-4GBECO G.SKILL ECO Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-12800CL9D-4GBECO,G.SKILL ECO Series 4GB (2 x 2GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-12800CL9D-4GBECO,DDR3 1600 (PC3 12800),1600; 12800,9,1.35V,Dual Channel Kit,9-9-9-24-2N,F3-12800CL9D-4GBECO,,,,
Team Group,Team Zeus Yellow 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model TZYD38G1600HC9DC01 Team Zeus Yellow 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model TZYD38G1600HC9DC01,Team Zeus Yellow 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model TZYD38G1600HC9DC01,DDR3 1600 (PC3 12800),1600; 12800,9,1.5V,Dual Channel Kit,9-9-9-24,TZYD38G1600HC9DC01,,,,
G.SKILL,G.SKILL Value 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C11D-8GNT G.SKILL Value 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C11D-8GNT,G.SKILL Value 8GB (2 x 4GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model F3-1600C11D-8GNT,DDR3 1600 (PC3 12800),1600; 12800,11,1.5V,Dual Channel Kit,11-11-11-28,F3-1600C11D-8GNT,,,,
Mushkin Enhanced,Mushkin Enhanced Redline 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Memory Model 997192F Mushkin Enhanced Redline 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Memory Model 997192F,Mushkin Enhanced Redline 8GB (2 x 4GB) 288-Pin DDR4 SDRAM DDR4 2666 (PC4-21300) Memory Model 997192F,DDR4 2666 (PC4-21300),2666; 21300,15,1.2V,Dual Channel Kit,15-15-15-35,997192F,,,,
Mushkin Enhanced,Mushkin Enhanced Blackline 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 994112 Mushkin Enhanced Blackline 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 994112,Mushkin Enhanced Blackline 32GB (4 x 8GB) 240-Pin DDR3 SDRAM DDR3 1600 (PC3 12800) Desktop Memory Model 994112,DDR3 1600 (PC3 12800),1600; 12800,9,1.35V,Quad Channel Kit,9-9-9-24,994112,,,,
